Number of thread,Nanoseconds
0,390486898.32
1,193733854.97
2,129944364.96
3,97876370.84
4,80321942.49
5,70684463.78
6,65243370.41
7,64089965.37
8,64218387.9
9,62380399.54
10,60435479.97
11,59785043.79
12,59005990.84
13,58555820.75
14,57868462.09
15,58311718.27
16,58027760.83
17,57022863.36
18,57515650.03
19,56698362.48
20,56285085.0
21,56270041.24
22,56245562.06
23,56084594.21
24,55673501.7
25,55947679.5
26,55201058.34
27,55258399.12
28,55150808.8
29,54583075.05
30,54657304.17
31,54501052.51
32,54416409.96
33,54276944.51
34,54615434.91
35,54265077.07
36,54266855.84
37,53956259.99
38,54672759.52
39,54485975.82
