Number of thread,Nanoseconds
0,2272799037.6
1,1136184050.0
2,758194016.5
3,568000095.8
4,455271408.4
5,382883858.4
6,332864962.6
7,321417770.9
8,311731095.8
9,298192762.4
10,295964583.4
11,297958841.7
12,289477812.3
13,292468333.5
14,293712991.5
15,289586350.2
16,292402770.9
17,296482870.8
18,295258287.5
19,286814408.3
20,287196816.6
21,289395795.7
22,285237366.5
23,284202392.0
24,283690341.6
25,289324283.3
26,286418945.7
27,287553587.5
28,285461637.5
29,283961337.7
30,285114029.1
31,281590504.2
32,283031512.5
33,282244083.3
34,283889204.2
35,282270845.9
36,282714854.1
37,283348274.9
38,281219879.1
39,283579016.8
