Number of thread,Nanoseconds
1, 1193583
2, 858958
3, 735292
4, 547333
5, 449666
6, 400375
7, 489792
8, 522084
9, 435750
10, 414042
11, 382250
12, 380709
13, 409500
14, 470666
15, 435833
16, 435125
17, 442167
18, 549292
19, 562958
20, 597958
1, 1227917
2, 819834
3, 830417
4, 548209
5, 353541
6, 453709
7, 398333
8, 473375
9, 427416
10, 407625
11, 455125
12, 455084
13, 499125
14, 411333
15, 543000
16, 505333
17, 486500
18, 528750
19, 526875
20, 607500
1, 1262959
2, 1075500
3, 1022792
4, 564166
5, 381583
6, 374333
7, 493209
8, 411291
9, 575000
10, 498875
11, 740875
12, 723458
13, 662084
14, 695167
15, 649875
16, 511958
17, 708041
18, 581166
19, 627375
20, 560292
1, 1188500
2, 1062833
3, 709958
4, 396333
5, 715750
6, 557791
7, 621625
8, 435792
9, 622375
10, 527250
11, 546333
12, 639416
13, 700333
14, 631584
15, 890000
16, 614791
17, 552041
18, 433750
19, 457250
20, 752542
1, 1196625
2, 1043000
3, 712375
4, 562417
5, 581959
6, 602709
7, 478583
8, 406500
9, 471875
10, 652458
11, 526750
12, 496250
13, 595750
14, 544625
15, 560292
16, 656291
17, 637584
18, 610416
19, 621500
20, 717875
1, 1201958
2, 1025458
3, 744792
4, 689041
5, 471667
6, 538375
7, 632750
8, 563166
9, 590500
10, 508959
11, 620541
12, 527625
13, 550375
14, 453500
15, 659125
16, 717417
17, 613833
18, 878708
19, 685208
20, 849333
1, 1183916
2, 1092208
3, 716750
4, 594750
5, 530625
6, 568500
7, 575875
8, 637917
9, 505625
10, 543166
11, 610333
12, 501125
13, 581791
14, 731917
15, 577042
16, 556000
17, 588459
18, 619041
19, 517542
20, 603875
1, 1223750
2, 730333
3, 751500
4, 557000
5, 475875
6, 565917
7, 429750
8, 486625
9, 655875
10, 582334
11, 509875
12, 482125
13, 537416
14, 524958
15, 624500
16, 554291
17, 575042
18, 557833
19, 637000
20, 667375
1, 1226209
2, 634334
3, 450625
4, 632792
5, 459083
6, 569459
7, 496709
8, 506750
9, 457667
10, 494959
11, 490791
12, 519000
13, 463542
14, 531625
15, 488333
16, 482500
17, 560584
18, 560167
19, 654917
20, 709958
1, 1202083
2, 986583
3, 766584
4, 405417
5, 462583
6, 389958
7, 461125
8, 443959
9, 610791
10, 451000
11, 532958
12, 589375
13, 699125
14, 648209
15, 500625
16, 446000
17, 562583
18, 509209
19, 526875
20, 618167
1, 1237500
2, 1160791
3, 1025875
4, 669583
5, 599875
6, 413208
7, 568875
8, 526792
9, 484417
10, 665667
11, 477209
12, 523583
13, 514000
14, 532417
15, 534667
16, 483041
17, 759125
18, 682167
19, 576417
20, 818625
1, 1253416
2, 692209
3, 1081250
4, 642584
5, 468458
6, 663833
7, 526750
8, 576416
9, 625583
10, 622917
11, 664834
12, 611667
13, 768042
14, 631208
15, 554583
16, 723333
17, 710625
18, 579209
19, 564875
20, 595708
1, 1434958
2, 1045833
3, 851208
4, 715959
5, 469042
6, 460125
7, 441625
8, 436209
9, 501875
10, 488916
11, 608583
12, 588209
13, 574291
14, 663542
15, 655459
16, 564291
17, 785125
18, 575709
19, 472292
20, 555542
1, 1212583
2, 1049625
3, 515334
4, 693292
5, 546042
6, 651083
7, 567000
8, 458542
9, 555792
10, 555583
11, 546458
12, 530375
13, 640792
14, 602833
15, 546417
16, 419208
17, 491917
18, 707292
19, 705625
20, 500334
1, 1260292
2, 1052500
3, 727000
4, 684333
5, 576541
6, 500291
7, 438083
8, 419416
9, 492667
10, 464375
11, 545541
12, 466042
13, 546000
14, 505083
15, 622958
16, 486125
17, 473291
18, 476542
19, 471458
20, 432375
1, 1202458
2, 647125
3, 464250
4, 403333
5, 606208
6, 518625
7, 451292
8, 562750
9, 589083
10, 561292
11, 499000
12, 546500
13, 517917
14, 541250
15, 489667
16, 514000
17, 508000
18, 493125
19, 473583
20, 565958
1, 1293125
2, 654959
3, 707417
4, 573083
5, 502625
6, 404042
7, 482000
8, 515416
9, 495000
10, 401459
11, 414042
12, 481042
13, 481542
14, 601625
15, 500792
16, 572708
17, 553250
18, 557167
19, 626959
20, 533833
1, 1180250
2, 1014000
3, 627375
4, 635750
5, 781833
6, 828167
7, 557416
8, 431875
9, 445083
10, 433709
11, 455791
12, 427708
13, 426750
14, 518250
15, 526916
16, 523458
17, 508708
18, 572833
19, 586959
20, 514500
1, 1229250
2, 621375
3, 739792
4, 576791
5, 593083
6, 466500
7, 602667
8, 437666
9, 419250
10, 502375
11, 466292
12, 519417
13, 499750
14, 467792
15, 447708
16, 497250
17, 577291
18, 651708
19, 542834
20, 1052375
1, 1352292
2, 1148833
3, 882083
4, 1514834
5, 481041
6, 1794000
7, 1243750
8, 879167
9, 943000
10, 631833
11, 1867125
12, 5644500
13, 2027458
14, 1306125
15, 745708
16, 673375
17, 651333
18, 1536084
19, 841083
20, 668208
1, 1222625
2, 1306333
3, 1903959
4, 1293792
5, 734959
6, 602667
7, 574833
8, 565250
9, 514000
10, 454583
11, 491292
12, 454916
13, 474375
14, 443250
15, 482625
16, 484333
17, 461958
18, 662042
19, 560750
20, 829208
1, 1910917
2, 1382250
3, 708500
4, 1396125
5, 1091334
6, 1829083
7, 971042
8, 864291
9, 1175583
10, 1042208
11, 1100250
12, 825875
13, 982500
14, 703375
15, 692208
16, 679083
17, 1066416
18, 850500
19, 873334
20, 727917
1, 1298542
2, 653667
3, 758541
4, 626500
5, 737250
6, 577000
7, 593500
8, 556583
9, 438084
10, 569125
11, 581000
12, 480250
13, 528625
14, 479791
15, 532958
16, 521333
17, 671875
18, 775709
19, 704084
20, 734875
1, 1204666
2, 1011334
3, 695916
4, 544458
5, 570333
6, 492875
7, 557958
8, 511542
9, 477625
10, 557958
11, 523917
12, 502542
13, 524375
14, 512584
15, 558667
16, 478292
17, 442000
18, 388500
19, 455833
20, 425042
1, 1193125
2, 1016833
3, 723834
4, 535250
5, 446750
6, 476458
7, 421750
8, 371500
9, 390709
10, 394958
11, 432958
12, 435125
13, 400292
14, 403459
15, 476542
16, 478792
17, 469958
18, 447292
19, 442333
20, 428584
1, 1178958
2, 636542
3, 812542
4, 539875
5, 532958
6, 422250
7, 418208
8, 428167
9, 406708
10, 391209
11, 428875
12, 373792
13, 390375
14, 397000
15, 403458
16, 440792
17, 476500
18, 495625
19, 532209
20, 553292
1, 1184000
2, 618459
3, 708459
4, 587792
5, 473542
6, 512791
7, 522917
8, 464875
9, 354333
10, 383958
11, 391708
12, 400875
13, 397459
14, 479792
15, 501042
16, 430625
17, 388459
18, 469042
19, 402250
20, 420250
1, 1189500
2, 614042
3, 707083
4, 623916
5, 427875
6, 449000
7, 440541
8, 488666
9, 450959
10, 410000
11, 357250
12, 375042
13, 387750
14, 446917
15, 530083
16, 377542
17, 453750
18, 476834
19, 436250
20, 456666
1, 1180000
2, 863459
3, 722167
4, 375500
5, 380375
6, 435750
7, 395792
8, 406000
9, 401666
10, 416625
11, 413208
12, 441750
13, 461167
14, 427833
15, 426666
16, 455416
17, 445083
18, 440959
19, 462583
20, 523959
1, 1210709
2, 800917
3, 455125
4, 540208
5, 445375
6, 487583
7, 424875
8, 414375
9, 421375
10, 427916
11, 439875
12, 405042
13, 470291
14, 460542
15, 446209
16, 502333
17, 551834
18, 443166
19, 609417
20, 606167
1, 1182917
2, 997750
3, 794958
4, 525500
5, 503833
6, 429791
7, 428792
8, 439708
9, 507083
10, 505041
11, 493708
12, 484250
13, 475750
14, 405666
15, 408375
16, 487167
17, 473667
18, 524833
19, 509375
20, 484500
1, 1182666
2, 613000
3, 800625
4, 546875
5, 537458
6, 467792
7, 590709
8, 493583
9, 424208
10, 431250
11, 434917
12, 427583
13, 459125
14, 409500
15, 451542
16, 435583
17, 461541
18, 498667
19, 478584
20, 486333
1, 1189625
2, 757167
3, 703292
4, 558000
5, 443500
6, 428375
7, 410333
8, 380750
9, 407416
10, 486458
11, 393000
12, 427208
13, 520167
14, 552625
15, 662042
16, 643750
17, 680666
18, 572958
19, 612875
20, 599750
1, 1226875
2, 876625
3, 810375
4, 620125
5, 462833
6, 573917
7, 578250
8, 542375
9, 656375
10, 648959
11, 534500
12, 629292
13, 578083
14, 594542
15, 514708
16, 590791
17, 568875
18, 542500
19, 622375
20, 672583
1, 1251333
2, 633167
3, 712833
4, 389375
5, 592334
6, 481125
7, 532625
8, 499500
9, 449042
10, 524250
11, 452917
12, 469625
13, 464417
14, 476125
15, 477166
16, 553958
17, 556917
18, 527250
19, 673292
20, 641041
1, 1276333
2, 1011792
3, 718750
4, 615583
5, 645209
6, 541333
7, 506416
8, 568542
9, 512417
10, 585875
11, 550750
12, 530708
13, 495083
14, 521500
15, 503625
16, 497833
17, 569917
18, 541042
19, 537042
20, 540292
1, 1217333
2, 1045541
3, 709042
4, 534791
5, 601125
6, 525375
7, 548750
8, 487542
9, 516625
10, 537250
11, 495459
12, 467125
13, 387250
14, 457583
15, 487666
16, 504833
17, 487083
18, 501000
19, 524667
20, 531500
1, 1207458
2, 1009583
3, 799375
4, 539958
5, 449834
6, 468875
7, 386375
8, 434917
9, 413334
10, 478875
11, 520875
12, 521125
13, 542750
14, 561125
15, 465125
16, 491083
17, 477041
18, 426041
19, 460042
20, 455167
1, 1182083
2, 1021792
3, 668166
4, 381541
5, 514000
6, 539167
7, 502041
8, 420375
9, 454250
10, 537166
11, 390416
12, 412416
13, 431666
14, 414209
15, 470750
16, 432209
17, 505917
18, 514834
19, 476375
20, 541208
1, 1200292
2, 629916
3, 817625
4, 616958
5, 505500
6, 436875
7, 496708
8, 569667
9, 481500
10, 424292
11, 442709
12, 516792
13, 548125
14, 514041
15, 482041
16, 507917
17, 510250
18, 534500
19, 796209
20, 540917
1, 1193333
2, 1016291
3, 710542
4, 579667
5, 420792
6, 674625
7, 475416
8, 467875
9, 658125
10, 694833
11, 495584
12, 809417
13, 800083
14, 839000
15, 869375
16, 574458
17, 631375
18, 665167
19, 467166
20, 2345541
1, 1337750
2, 725417
3, 999291
4, 1361959
5, 459375
6, 650000
7, 560541
8, 771791
9, 679000
10, 941708
11, 762417
12, 608667
13, 782500
14, 602542
15, 751583
16, 593542
17, 666584
18, 589792
19, 652209
20, 546458
1, 1215958
2, 627834
3, 858333
4, 813750
5, 761875
6, 729083
7, 729750
8, 710334
9, 1011500
10, 789542
11, 1075542
12, 468917
13, 676917
14, 478417
15, 690833
16, 760417
17, 625166
18, 556042
19, 617375
20, 639708
1, 1194000
2, 620500
3, 474791
4, 388458
5, 524208
6, 449500
7, 536833
8, 546667
9, 549125
10, 526875
11, 585833
12, 531167
13, 561208
14, 519167
15, 454167
16, 655792
17, 501958
18, 553167
19, 668500
20, 518459
1, 1203250
2, 630916
3, 985125
4, 555125
5, 333542
6, 719500
7, 555625
8, 413541
9, 368792
10, 382542
11, 452209
12, 469500
13, 446375
14, 475708
15, 389459
16, 606583
17, 523500
18, 459375
19, 500875
20, 534625
1, 1180833
2, 632125
3, 701584
4, 498375
5, 493584
6, 464833
7, 429125
8, 478000
9, 398333
10, 510834
11, 474916
12, 421375
13, 424416
14, 403167
15, 451000
16, 435000
17, 517333
18, 462917
19, 480708
20, 497042
1, 1201334
2, 1043958
3, 720667
4, 510792
5, 469500
6, 395709
7, 467250
8, 397625
9, 440959
10, 409291
11, 412166
12, 389958
13, 434125
14, 443292
15, 393625
16, 497667
17, 465625
18, 446583
19, 607667
20, 652833
1, 1226458
2, 637625
3, 630375
4, 369583
5, 431458
6, 447708
7, 555584
8, 424666
9, 441667
10, 400917
11, 488542
12, 434958
13, 420750
14, 462375
15, 428250
16, 418583
17, 415625
18, 502458
19, 514959
20, 455166
1, 1192958
2, 635083
3, 466500
4, 761875
5, 445833
6, 389917
7, 521125
8, 379708
9, 596375
10, 453917
11, 466083
12, 385709
13, 426458
14, 467791
15, 448208
16, 374166
17, 405167
18, 510708
19, 502417
20, 525542
1, 1249667
2, 1017167
3, 1058875
4, 498666
5, 401583
6, 806959
7, 634583
8, 392375
9, 475125
10, 467917
11, 520333
12, 641000
13, 485083
14, 401792
15, 498042
16, 906083
17, 518125
18, 575209
19, 698625
20, 923167
