Number of thread,Nanoseconds
1, 3328791
2, 1702667
3, 1166584
4, 895042
5, 731250
6, 1173875
7, 1006250
8, 979791
9, 988750
10, 1150375
11, 1423667
12, 1145291
13, 953292
14, 1094792
15, 980625
16, 955625
17, 1222042
18, 954375
19, 934667
20, 955292
21, 971375
22, 1060125
23, 910875
24, 937917
25, 1063000
26, 1113750
27, 1150875
28, 1084750
29, 1073375
30, 1257834
31, 1075459
32, 1351166
33, 1111083
34, 873292
35, 872375
36, 837250
37, 884083
38, 864959
39, 1253000
40, 1015708
1, 3373375
2, 1717375
3, 1155917
4, 881583
5, 728083
6, 932916
7, 978125
8, 837500
9, 790625
10, 727750
11, 677125
12, 619583
13, 603209
14, 563875
15, 577792
16, 675583
17, 654375
18, 654292
19, 620500
20, 701125
21, 627250
22, 627625
23, 685708
24, 671458
25, 669375
26, 644125
27, 690000
28, 648709
29, 734792
30, 822584
31, 887792
32, 758708
33, 736708
34, 699292
35, 618750
36, 664958
37, 648458
38, 651667
39, 632167
40, 648000
1, 3335208
2, 1689750
3, 1146375
4, 891708
5, 724625
6, 636750
7, 600416
8, 887583
9, 793917
10, 725209
11, 672834
12, 621708
13, 707792
14, 801333
15, 785167
16, 912625
17, 995500
18, 1051417
19, 1066791
20, 903458
21, 1058083
22, 1141291
23, 860042
24, 991000
25, 803125
26, 833125
27, 899959
28, 753708
29, 787833
30, 814916
31, 663292
32, 613292
33, 625083
34, 672792
35, 692209
36, 688125
37, 672167
38, 756833
39, 788500
40, 864959
1, 3371959
2, 1699083
3, 1179291
4, 895625
5, 736625
6, 628750
7, 549541
8, 869666
9, 792917
10, 726375
11, 695584
12, 738000
13, 800000
14, 889041
15, 867917
16, 790000
17, 791167
18, 853292
19, 758583
20, 1007542
21, 769417
22, 938666
23, 789708
24, 1345292
25, 1079208
26, 795375
27, 835375
28, 1218625
29, 763833
30, 794167
31, 1023250
32, 1195167
33, 1136042
34, 1066708
35, 1187667
36, 1035458
37, 1127333
38, 1208333
39, 1195166
40, 996584
1, 3365792
2, 2024208
3, 1280958
4, 1222750
5, 810625
6, 2097250
7, 1090708
8, 987583
9, 1587750
10, 1106750
11, 1039417
12, 993959
13, 1183042
14, 1705417
15, 1568000
16, 784458
17, 845667
18, 1193875
19, 890167
20, 1284125
21, 1029541
22, 1169375
23, 1165292
24, 728917
25, 1213250
26, 955416
27, 798667
28, 875500
29, 1277792
30, 1029458
31, 865917
32, 1200875
33, 1156833
34, 956250
35, 957167
36, 1203083
37, 999708
38, 842333
39, 787875
40, 787584
1, 3405667
2, 1763833
3, 1222584
4, 948167
5, 884334
6, 811542
7, 855041
8, 1187041
9, 862750
10, 801375
11, 719708
12, 685208
13, 792959
14, 651709
15, 738708
16, 691667
17, 672000
18, 704333
19, 666875
20, 702583
21, 721292
22, 690875
23, 682625
24, 690917
25, 817041
26, 769042
27, 691250
28, 779000
29, 851625
30, 905542
31, 772167
32, 797292
33, 872583
34, 741375
35, 757667
36, 675042
37, 683833
38, 751583
39, 851209
40, 834083
1, 3414750
2, 1780416
3, 1220917
4, 1421000
5, 781667
6, 1199417
7, 1327417
8, 1131667
9, 1160375
10, 1275083
11, 909042
12, 1319959
13, 934625
14, 937458
15, 1088042
16, 1115625
17, 1141625
18, 1036459
19, 1082750
20, 953708
21, 941375
22, 1138875
23, 1224542
24, 840833
25, 1076750
26, 968584
27, 916667
28, 886042
29, 1092125
30, 1001625
31, 1327250
32, 892250
33, 967584
34, 994417
35, 871334
36, 922875
37, 985292
38, 900000
39, 1008959
40, 787250
1, 3374583
2, 1751625
3, 1266500
4, 926500
5, 943000
6, 898500
7, 730541
8, 867583
9, 799334
10, 720958
11, 692083
12, 632292
13, 657416
14, 709500
15, 753625
16, 689750
17, 732292
18, 660750
19, 658417
20, 729875
21, 736959
22, 729375
23, 696375
24, 861792
25, 789250
26, 662750
27, 715792
28, 632500
29, 692875
30, 729584
31, 664833
32, 648875
33, 708916
34, 755042
35, 844791
36, 745708
37, 636583
38, 802958
39, 814375
40, 702459
1, 3333792
2, 1695209
3, 1216500
4, 895916
5, 748250
6, 1112500
7, 611959
8, 944542
9, 823084
10, 1163708
11, 725875
12, 702583
13, 1037583
14, 624666
15, 903625
16, 758292
17, 688541
18, 736958
19, 670875
20, 793792
21, 679916
22, 870458
23, 718083
24, 951500
25, 755917
