Size of Matrix,Avg Context Switch Time
50, 55882
100, 105127
150, 93657
200, 75732
250, 87570
300, 73149
350, 91348
400, 66483
450, 68608
500, 92469
50, 201524
100, 87010
150, 136362
200, 111183
250, 234507
300, 51404
350, 47809
400, 111938
450, 117739
500, 84777
50, 252992
100, 85272
150, 152936
200, 101262
250, 70500
300, 143970
350, 99594
400, 141496
450, 107671
500, 83668
50, 167884
100, 44142
150, 118166
200, 138495
250, 51965
300, 70674
350, 78538
400, 121108
450, 135146
500, 91601
50, 211685
100, 166825
150, 70279
200, 83674
250, 155855
300, 119967
350, 94092
400, 101381
450, 47581
500, 90026
50, 199426
100, 174684
150, 155865
200, 86179
250, 66967
300, 97077
350, 382553
400, 45171
450, 88525
500, 85891
